are_id,area
1,533934544
2,533934624
3,533934632
4,533934633
5,533934634
6,533934641
7,533934642
8,533934643
9,533934644
10,533934651
11,533934653
12,533934712
13,533934714
14,533934721
15,533934722
16,533934723
17,533934724
18,533934731
19,533934732
20,533934733
21,533934734
22,533934741
23,533934742
24,533934743
25,533934744
26,533934751
27,533934753
28,533934754
29,533934762
30,533934763
31,533934764
32,533934771
33,533934773
34,533934812
35,533934814
36,533934821
37,533934822
38,533934823
39,533934824
40,533934831
41,533934832
42,533934833
43,533934834
44,533934841
45,533934842
46,533934843
47,533934844
48,533934851
49,533934852
50,533934853
51,533934854
52,533934861
53,533934862
54,533934863
55,533934864
56,533934871
57,533934873
58,533934912
59,533934914
60,533934921
61,533934922
62,533934923
63,533934924
64,533934931
65,533934932
66,533934933
67,533934934
68,533934941
69,533934942
70,533934943
71,533934944
72,533934951
73,533934952
74,533934953
75,533934954
76,533934961
77,533934962
78,533934963
79,533934964
80,533934971
81,533934973
82,533944012
83,533944021
84,533944022
85,533944023
86,533944031
87,533944032
88,533944033
89,533944034
90,533944041
91,533944042
92,533944043
93,533944044
94,533944051
95,533944053
96,533944061
97,533944062
98,533944063
99,533944064
100,533944071
101,533944112
102,533944114
103,533944121
104,533944123
105,533944131
106,533944132
107,533944133
108,533944134
109,533944141
110,533944142
111,533944143
112,533944144
113,533944151
114,533944212
115,533944214
116,533944221
1000,666666666
