,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,1,2,1,2,2,1,1,2,2,2,3,4,3,3,4,3,3,4,4,3,3,4,4,5,5,5,6,5
2,2,1,1,1,1,2,3,2,3,4,5,6,2,2,3,2,3,3,3,4,5,4,6,4,4,4,5,4
3,1,1,1,1,1,1,2,1,2,3,4,5,2,2,3,2,2,3,3,3,4,3,5,4,4,4,5,4
4,2,1,1,1,1,2,3,2,3,4,5,6,1,1,2,2,3,2,3,4,5,4,6,3,3,3,4,4
5,2,1,1,1,1,1,2,1,2,3,4,5,1,1,2,1,2,2,2,3,4,3,5,3,3,3,4,3
6,1,2,1,2,1,1,1,1,1,2,3,4,2,2,3,2,2,3,3,2,3,3,4,4,4,4,5,4
7,1,3,2,3,2,1,1,1,1,1,2,3,3,2,3,2,2,3,3,2,2,3,3,4,4,4,5,4
8,2,2,1,2,1,1,1,1,1,2,3,4,2,1,2,1,1,2,2,2,3,2,4,3,3,3,4,3
9,2,3,2,3,2,1,1,1,1,1,2,3,3,2,2,1,1,2,2,1,2,2,3,3,3,3,4,3
10,2,4,3,4,3,2,1,2,1,1,1,2,4,3,3,2,1,2,2,1,1,2,2,3,3,3,4,3
11,3,5,4,5,4,3,2,3,2,1,1,1,5,4,4,3,2,3,2,1,1,2,1,4,3,3,4,3
12,4,6,5,6,5,4,3,4,3,2,1,1,6,5,5,4,3,4,3,2,1,2,1,5,4,3,4,3
13,3,2,2,1,1,2,3,2,3,4,5,6,1,1,1,2,3,2,3,4,5,4,6,2,2,3,3,4
14,3,2,2,1,1,2,2,1,2,3,4,5,1,1,1,1,2,1,2,3,4,3,5,2,2,2,3,3
15,4,3,3,2,2,3,3,2,2,3,4,5,1,1,1,1,2,1,2,3,4,3,5,1,1,2,2,3
16,3,2,2,2,1,2,2,1,1,2,3,4,2,1,1,1,1,1,1,2,3,2,4,2,2,2,3,2
17,3,3,2,3,2,2,2,1,1,1,2,3,3,2,2,1,1,1,1,1,2,1,3,2,2,2,3,2
18,4,3,3,2,2,3,3,2,2,2,3,4,2,1,1,1,1,1,1,2,3,2,4,1,1,1,2,2
19,4,3,3,3,2,3,3,2,2,2,2,3,3,2,2,1,1,1,1,1,2,1,3,2,1,1,2,1
20,3,4,3,4,3,2,2,2,1,1,1,2,4,3,3,2,1,2,1,1,1,1,2,3,2,2,3,2
21,3,5,4,5,4,3,2,3,2,1,1,1,5,4,4,3,2,3,2,1,1,1,1,4,3,2,3,2
22,4,4,3,4,3,3,3,2,2,2,2,2,4,3,3,2,1,2,1,1,1,1,2,3,2,1,2,1
23,4,6,5,6,5,4,3,4,3,2,1,1,6,5,5,4,3,4,3,2,1,2,1,5,4,3,4,2
24,5,4,4,3,3,4,4,3,3,3,4,5,2,2,1,2,2,1,2,3,4,3,5,1,1,2,1,3
25,5,4,4,3,3,4,4,3,3,3,3,4,2,2,1,2,2,1,1,2,3,2,4,1,1,1,1,2
26,5,4,4,3,3,4,4,3,3,3,3,3,3,2,2,2,2,1,1,2,2,1,3,2,1,1,1,1
27,6,5,5,4,4,5,5,4,4,4,4,4,3,3,2,3,3,2,2,3,3,2,4,1,1,1,1,2
28,5,4,4,4,3,4,4,3,3,3,3,3,4,3,3,2,2,2,1,2,2,1,2,3,2,1,2,1
