56%,0%,13%,0%,0%,29%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,80-100
0%,82%,9%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,60-80
4%,2%,60%,2%,7%,24%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,40-60
0%,6%,3%,77%,7%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,20-40
0%,0%,4%,2%,58%,7%,0%,22%,0%,0%,0%,0%,2%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,1ŒŽ20“ú
1%,0%,3%,0%,5%,57%,18%,15%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,5%,55%,17%,22%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,2%,2%,4%,58%,23%,0%,0%,0%,0%,3%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,1%,7%,57%,9%,0%,0%,0%,0%,0%,15%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,6%,66%,11%,0%,0%,0%,0%,0%,9%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,78%,6%,0%,0%,0%,0%,0%,0%,0%,3%,6%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,76%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,10%,0%,0%,0%,0%,0%,,
0%,0%,0%,7%,3%,0%,0%,0%,0%,0%,0%,0%,84%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,4%,0%,0%,8%,0%,0%,0%,0%,3%,63%,4%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,72%,9%,0%,9%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,4%,10%,0%,0%,0%,0%,3%,3%,57%,19%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,3%,2%,0%,0%,0%,0%,0%,9%,66%,8%,5%,6%,0%,0%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,7%,14%,57%,11%,0%,0%,0%,0%,4%,2%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,11%,61%,5%,0%,6%,0%,0%,5%,2%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,2%,0%,0%,0%,0%,0%,16%,0%,15%,53%,4%,5%,0%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,4%,0%,0%,0%,0%,0%,0%,0%,8%,64%,3%,7%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,24%,5%,1%,50%,0%,0%,0%,14%,0%,6%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,16%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,76%,0%,0%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,8%,0%,0%,0%,0%,0%,76%,5%,0%,0%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,13%,0%,0%,0%,0%,12%,55%,7%,2%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,9%,0%,0%,12%,54%,5%,9%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,13%,74%,0%,,
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,7%,0%,0%,0%,19%,0%,73%,,
